,title,subtitle,link
74,SHAK-EN UP,,https://www.thesun.co.uk/sport/21723224/shakira-crying-new-york-pique-split/
75,,,https://www.thesun.co.uk/sport/21730591/dele-alli-banished-besiktas-return-everton/
76,,,https://www.thesun.co.uk/sport/21714450/i-played-with-ronaldo-but-messi-is-the-goat/
77,,,https://www.thesun.co.uk/sport/21738074/osimhen-dreams-premier-league-transfer-man-utd-chelsea/
78,,,https://www.thesun.co.uk/sport/21733171/wrexham-want-haaland-mbappe-reynolds-sells-company/
79,TIM VICKERY,Cruzeiro legend-turned owner Ronaldo booed by fans demanding the impossible,https://www.thesun.co.uk/sport/21691778/cruzeiro-ronaldo-fans-booed-transfers/
80,TROY DEENEY,,https://www.thesun.co.uk/sport/21674801/harry-kane-tottenham-paris-saint-germain/
81,,,https://www.thesun.co.uk/news/21649677/gary-lineker-tweet-piers-morgan/
82,'WHAT A GOAL',Italy ace's partner dubbed 'world's most beautiful Wag' as she wears lingerie,https://www.thesun.co.uk/sport/21698719/italy-girlfriend-worlds-beautiful-wag-lingerie/
83,,,https://www.thesun.co.uk/sport/21730552/million-dollars-rangers-model-wag-fans-wild-tiny-bikini/
84,,,https://www.thesun.co.uk/sport/21699254/said-benrahma-luxury-cave-hotel-mya-mills-tiktok/
